repo,path,name
zdk123/compPLS,NAMESPACE,NAMESPACE
danielmai/.emacs.d,snippets/c++-mode/namespace,namespace
danielmai/.emacs.d,snippets/csharp-mode/namespace,namespace
heliosdrm/phia,NAMESPACE,NAMESPACE
keboola/provisioning-r-client,NAMESPACE,NAMESPACE
zhangzhongyong/Leasso,NAMESPACE,NAMESPACE
JIC-CSB/babar,babar/NAMESPACE,NAMESPACE
lhrkkk/.emacs.d-OLD,snippets/c++-mode/namespace,namespace
xia0t99/MyPackage,MyPackage.Rcheck/00_pkg_src/MyPackage/NAMESPACE,NAMESPACE
xia0t99/MyPackage,MyPackage.Rcheck/MyPackage/NAMESPACE,NAMESPACE
xia0t99/MyPackage,MyPackage/NAMESPACE,NAMESPACE
xia0t99/MyPackage,NAMESPACE,NAMESPACE
vapniks/comtrade,NAMESPACE,NAMESPACE
softwaredeng/intrees,inTrees/NAMESPACE,NAMESPACE
joshua-james-f/MCMCtab,NAMESPACE,NAMESPACE
Bioconductor-mirror/AnnotationFuncs,NAMESPACE,NAMESPACE
Bioconductor-mirror/ROC,NAMESPACE,NAMESPACE
Bioconductor-mirror/CoRegNet,NAMESPACE,NAMESPACE
Bioconductor-mirror/gmapR,NAMESPACE,NAMESPACE
Bioconductor-mirror/gmapR,inst/GmapGenomePackage-template/NAMESPACE,NAMESPACE
ericwclymer/FirstRPackage,NAMESPACE,NAMESPACE
chengyu-liu-cs/lcyCF,NAMESPACE,NAMESPACE
grlurton/ihme_hmis,dhisextractr/NAMESPACE,NAMESPACE
muschellij2/matlabr,NAMESPACE,NAMESPACE
AndreyMalykhin/EmacsConfig,elpa/yasnippet-20160612.620/snippets/c++-mode/namespace,namespace
AndreyMalykhin/EmacsConfig,elpa/yasnippet-20160612.620/snippets/csharp-mode/namespace,namespace
PacktCode/Practical-Machine-Learning,r/chapter12/rlexample/qlearning/NAMESPACE,NAMESPACE
rbagd/dynfactoR,NAMESPACE,NAMESPACE
daianemarcolino/FGVdados,NAMESPACE,NAMESPACE
colinthart/C-,Namespace,Namespace
